"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Quantity","Method"
"0x112351da02c0585cf0123ffb541e19183b20346cc8ab19bc8ff39dfb0e11b2e5","16789061","1678345655","2023-03-09 07:07:35","0x07ff38e9be6e867d298d8f4aedfd58d98456cf82","0x025801f883ba38444384367938835b61bf2dc2b7","0.496671837862619586","Execute"
"0x962331059de8ee9224120bcdf3c3c2f864f9b760dd7c428144c576f5e221708c","16832534","1678874003","2023-03-15 09:53:23","0x07ff38e9be6e867d298d8f4aedfd58d98456cf82","0x50f9bde1c76bba997a5d6e7fefff695ec8536194","61.06892972348630719","Mix Swap"
"0x3aee32418499c31cdefac7ccef6f36ef93503cd41a0a3e7ad0817c3ec88e3394","16832832","1678877663","2023-03-15 10:54:23","0x07ff38e9be6e867d298d8f4aedfd58d98456cf82","0x50f9bde1c76bba997a5d6e7fefff695ec8536194","39.036240741054617749","Mix Swap"
"0x2eb90af864352282fa37c18fd4fdda3d757750010ac54e5c52e9df4dfc4c11a2","16835477","1678909751","2023-03-15 19:49:11","0xee7c4aca7d64075550f1b119b4bb4a0aa889c340","0x07ff38e9be6e867d298d8f4aedfd58d98456cf82","92.399949840452923298","Execute"
"0x656b231a5a00c8081bfffd99b37d84eb6b7d251cd7c4f14c562344dc58f5123b","16848346","1679066027","2023-03-17 15:13:47","0x07ff38e9be6e867d298d8f4aedfd58d98456cf82","0xc03a7d5facbed706c64b7f21849514b1b7c0fbf8","596.937256101184849795","Execute"
"0x19364908fb44a10cc1572b0127309cf77bde14896ed27c7ef9d8052fe68ae8ce","16848402","1679066711","2023-03-17 15:25:11","0x781ab1298b771d48f21cc34a66bb56a0bb48ef99","0x07ff38e9be6e867d298d8f4aedfd58d98456cf82","411.932737645725236482","Execute"
"0x8757afdcca2d3fbf63fe0dab2a7935f3a8ced0c0b340937e6911b6344cfea573","16848469","1679067539","2023-03-17 15:38:59","0x07ff38e9be6e867d298d8f4aedfd58d98456cf82","0xc03a7d5facbed706c64b7f21849514b1b7c0fbf8","3,021.017840163029769058","Execute"
"0x9ad5a138188e0802173932bacaa37086934a6eb8e739c492af40140504bd718d","16848605","1679069195","2023-03-17 16:06:35","0x781ab1298b771d48f21cc34a66bb56a0bb48ef99","0x07ff38e9be6e867d298d8f4aedfd58d98456cf82","3,000","Execute"
"0xe1a562c1c27bdab05f50b3d327f02b5423c0e5adbebbd11966bde97b1eb08407","16848922","1679073035","2023-03-17 17:10:35","0x07ff38e9be6e867d298d8f4aedfd58d98456cf82","0x00000000a991c429ee2ec6df19d40fe0c80088b8","1,291.491939540324008562","-"
"0x1354bcef9df5acd4d201f813a98a62adc3a56182c94d2ccd39da3eeba42c6b1a","16848922","1679073035","2023-03-17 17:10:35","0x07ff38e9be6e867d298d8f4aedfd58d98456cf82","0xa8172e99effda57900e09150f37fea5860b806b4","4,061.118269724979775918","Execute"
